Time,Unnamed: 1,Open,High,Low,Close,Volume
2004.05.31,00:00,1.224,1.2248,1.2177,1.2192,11703
2004.06.01,00:00,1.2193,1.2269,1.2155,1.2244,13296
2004.06.02,00:00,1.2241,1.231,1.2205,1.2209,12243
2004.06.03,00:00,1.2212,1.2255,1.2169,1.2218,12847
2004.06.04,00:00,1.2219,1.2333,1.2136,1.2286,12490
2004.06.07,00:00,1.23,1.2342,1.2291,1.2321,11784
2004.06.08,00:00,1.2319,1.2356,1.2245,1.2259,12410
2004.06.09,00:00,1.2258,1.2278,1.2027,1.2028,13115
2004.06.10,00:00,1.2026,1.2121,1.2022,1.2114,12079
2004.06.11,00:00,1.2117,1.2117,1.1965,1.2009,12209
2004.06.14,00:00,1.1974,1.2091,1.1953,1.2056,12742
2004.06.15,00:00,1.2054,1.2174,1.2027,1.2162,12322
2004.06.16,00:00,1.2164,1.2173,1.1978,1.2005,13563
2004.06.17,00:00,1.2006,1.2075,1.1991,1.2044,14578
2004.06.18,00:00,1.2043,1.2145,1.1972,1.2137,12296
2004.06.21,00:00,1.2143,1.2144,1.2075,1.2109,8610
2004.06.22,00:00,1.2111,1.2131,1.2065,1.2115,9512
2004.06.23,00:00,1.2114,1.2191,1.2062,1.209,10350
2004.06.24,00:00,1.2088,1.2187,1.2037,1.218,10525
2004.06.25,00:00,1.2181,1.2188,1.2105,1.2177,10836
2004.06.28,00:00,1.2177,1.2227,1.212,1.2184,10918
2004.06.29,00:00,1.2184,1.219,1.2066,1.2079,11652
2004.06.30,00:00,1.2079,1.2203,1.2065,1.2184,13048
2004.07.01,00:00,1.2185,1.2208,1.2133,1.2153,11646
2004.07.02,00:00,1.2154,1.2325,1.2142,1.2313,10662
2004.07.05,00:00,1.2327,1.2334,1.2269,1.2284,6655
2004.07.06,00:00,1.2283,1.2328,1.2263,1.2287,10894
2004.07.07,00:00,1.2285,1.2387,1.2272,1.2364,12624
2004.07.08,00:00,1.2365,1.2404,1.2338,1.2389,10657
2004.07.09,00:00,1.2391,1.2421,1.2369,1.2412,10221
2004.07.12,00:00,1.2409,1.2435,1.2381,1.2407,9808
2004.07.13,00:00,1.2407,1.241,1.2299,1.2333,13681
2004.07.14,00:00,1.2332,1.242,1.2316,1.2382,11248
2004.07.15,00:00,1.2382,1.239,1.2325,1.2354,11004
2004.07.16,00:00,1.2354,1.2457,1.2325,1.245,10482
2004.07.19,00:00,1.2445,1.246,1.2396,1.2441,9483
2004.07.20,00:00,1.244,1.2453,1.2301,1.2325,11267
2004.07.21,00:00,1.2326,1.2349,1.2209,1.2276,13387
2004.07.22,00:00,1.2274,1.2291,1.2231,1.2251,12350
2004.07.23,00:00,1.2252,1.2264,1.2086,1.209,12533
2004.07.26,00:00,1.2101,1.2169,1.2086,1.2144,11053
2004.07.27,00:00,1.2146,1.2187,1.2033,1.2056,12203
2004.07.28,00:00,1.2055,1.2077,1.1998,1.2052,14492
2004.07.29,00:00,1.2053,1.2094,1.1989,1.2039,15611
2004.07.30,00:00,1.204,1.2117,1.2,1.2016,13685
2004.08.02,00:00,1.2066,1.2091,1.2018,1.2021,10777
